SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q1903,Q1907,Q190701,Q19070301,Q19070302,Q19070303
1,1,52,14,2,6,8,5,2,2022,3, ,2300,2, ,5,1, , , , 
1,1,47,8,2,3,6,6,1,2017,3, ,2000,1,5,16,4,1, , , 
3,2,54,14,2,6,5,1,2,2021,1, ,1600, , ,6,2, , , , 
4,1,37,1,2,2,7,3,2,2018,1, ,1600, , ,17,5, ,3,4,1
3,1,53,1,2,6,5,5,1,2018,1, ,3000,3, ,25,4,2, , , 
2,1,46,8,2,5,7,7,1,2020,3, ,2200,1,7,16,4,2, , , 
2,2,57,8,97,6,11,4,1,2022,5, , , , , ,5, ,14,2,15
2,1,72,1,2,7,4,4,1,2013,1, ,2400,1, ,13,3, , , , 
2,1,52,17,97,5,7,7, , , , , , , ,6,1, , , , 
4,1,57,8,1,1,2,2,1,2016,1, ,1000, ,2, ,1, , , , 
4,1,47,8,2,4,2,2,2,2022,2, ,1700, , ,7,4,2, , , 
3,1,58,12, , , , ,1,2016,3, ,1600,1, ,7,3, , , , 
1,1,57,11,2,7,13,13,2,2013,3, ,2200,1,7,1,2, , , , 
1,1,55,1,2,6,3,3,1,2013,2, ,2000, , ,30,3, , , , 
3,1,45,8,2,5,8,6,1,2013,1, ,2400,1, ,11,3, , , , 
1,1,54,2,2,5,8,8,1,2013,1, ,2000, , ,7,4,1, , , 
2,2,64,14,97,7,6,3,1,2013,3, ,2000,1,7,13,1, , , , 
4,1,67,9,2,7,7,4,1,2016,3, ,2000,1,5,7,4,1, , , 
1,1,56,11,2,6,11,4,1,2014,3, ,2900,1,9,7,4,1, , , 
4,2,36,1,1,7,3,2,1,2022,1, ,1000,1, ,13,1, , , , 
2,2,47,13,1,7,5,5,2,2014,3, ,2000,1, ,11,2, , , , 
4,1,30,6,1,1,3,3,2,2020,3, ,2000,1, ,13,1, , , , 
3,1,37,8,2,4,6,3,2,2013,1, ,1000, ,5,19,4,2, , , 
1,1,56,11,1,1,4,4,1,2018,1, ,1600, , ,2,1, , , , 
2,2,67,17,97,1,4,4,1,2013,1, ,3300,1, , ,6, , , , 
2,1,40,1,1,1,4,4, , , , , , , ,29,5, ,18,3,19
1,2,38,4,1,1,2,2,2,2023,1, ,3000,1, ,29,4,2, , , 
3,1,45,8,2,3,6,6,1,2021,4,1,1600,1, ,22,1, , , , 
3,1,55,1,2,6,5,4,1,2017,1, ,2400,1, ,20,4,2, , , 
3,2,27,1,1,6,9,4,2,2021,3, ,1500,1, , ,4,2, , , 
2,1,60,14,97,6,2,1, , , , , , , ,9,1, , , , 
2,1,48,3,2,6,3,3,1,2016,3, ,1500,1, ,16,2, , , , 
4,1,67,10,2,7,5,3, , , , , , , ,22,1, , , , 
1,1,38,8,2,4,4,4,2,2023,1, ,1400, , ,16,4,2, , , 
2,1,72,12,2,7,4,4,1,2015,1, ,1500,1, , ,4,2, , , 
2,2,47,2,2,5,6,3,1,2021,1, ,2000,1, ,22,1, , , , 
4,1,38,13,2,4,6,4,2,2018,5, , , , ,16,4,2, , , 
2,1,67,9,2,7,4,3,2,2016,2, ,2000, , ,20,1, , , , 
4,1,48,8,2,6,8,8,1,2020,4,1,2400,1, ,13,4,1, , , 
2,2,52,8,1,6,3,3,2,2018,1, ,1400, , ,29,1, , , , 
4,1,44,4,2,5,4,3,1,2015,3, ,2200,1,9,20,4,1, , , 
2,1,61,1,2,6,7,3,1,2018,1, ,2000, , , ,3, , , , 
2,1,59,1,1,6,6,6,2,2017,1, ,2400,1, ,9,1, , , , 
2,1,56,8,2,6,7,5,1,2016,3, ,2200,1,7,20,4,1, , , 
4,1,66,12,2,7,9,7,1,2016,1, ,3800,3, ,10,1, , , , 
4,2,50,8,2,5,4,2,1,2013,1, ,2400, , ,16,1, , , , 
2,1,43,2,2,2,7,4,1,2015,3, ,2000,1, ,25,1, , , , 
4,1,50,1,2,6,6,6,2,2018,1, ,3500,1, ,12,4,1, , , 
2,1,37,2,2,4,6,6,1,2015,1, ,2000, , ,9,4,1, , , 
2,1,44,8,2,5,9,4,2,2016,3, ,2000,1,5, ,5, ,2,15,10
4,1,49,1,2,5,12,10,1,2022,1, ,3500,3, ,24,1, , , , 
4,1,44,8,2,5,10,6,1,2021,4,1,2400,1, ,11,1, , , , 
2,1,42,6,2,5,5,4,1,2017,1, ,2000, , ,20,4,1, , , 
1,1,53,8,2,6,11,11,1,2017,3, ,2200,1,9,9,3, , , , 
2,1,49,1,2,5,10,5,1,2017,2, ,2000,1, ,20,2, , , , 
3,1,56,8,2,6,7,7,1,2022,5, , , , ,26,5, ,7,11,5
1,1,41,16,2,4,10,6,1,2018,1, ,2400,1, ,26,5, ,5,4,7
4,1,49,8,2,3,4,4,2,2016,3, ,2000,1,7,9,1, , , , 
4,1,64,10,2,7,7,4,1,2013,2, ,2000, , ,7,3, , , , 
4,1,53,6,2,6,7,7,1,2013,1, ,2000, , ,10,1, , , , 
3,1,63,1,2,7,4,4,1,2018,3, ,1500,1, ,7,3, , , , 
3,1,47,8,2,5,6,6,1,2014,3, ,2000,2, ,30,1, , , , 
4,1,45,2,2,4,10,4,1,2021,1, ,2500,3, ,7,4,1, , , 
4,1,54,1,2,6,10,5,1,2016,3, ,2200,1,7,20,4,1, , , 
2,1,63,8,97,6,7,4,2,2019,1, ,2000, , ,7,4,2, , , 
2,1,48,8,2,5,4,4,1,2020,6, , ,1, ,26,5, ,14,5,4
4,1,45,1,2,5,6,6,1,2021,1, ,2500,1, ,25,4,2, , , 
4,1,60,8,2,6,9,5,1,2013,1, ,2400,1, ,1,4,2, , , 
1,1,42,1,2,2,9,5,1,2018,1, ,2000,1,5,13,4,1, , , 
4,2,48,9,97,6,3,3,2,2022,3, ,1800, , ,13,1, , , , 
4,1,58,3,2,6,3,3,2,2020,3, ,2000,1, ,26,4,2, , , 
3,1,60,2,2,6,10,3,1,2016,3, ,1700, , ,20,1, , , , 
3,2,34,11,2,4,6,2,1,2019,1, ,2200,1,5,8,4,1, , , 
1,1,63,7,2,6,5,5,1,2013,3, ,2000,1,7,5,4,2, , , 
2,1,69,8,2,7,12,8,1,2019,1, ,3000,3, ,6,3, , , , 
4,1,63,14,2,6,7,4,1,2021,1, ,2500,1, , ,1, , , , 
