SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q01010203,Q0119,Q01190100,Q0117,Q0120,Q012001,NHQ2,THQ01,THQ02,THQ03,THQ04,THQ05,THQ06,THQ07,THQ08,THQ09,THQ10,THQ11,THQ12,THQ13
98,1,53,8,2,6,7,4,1,2023,9,3, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,45,8,2,5,7,5,1,2023,9,4,1,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,34,10,1,6,6,3,1,2023,10,1, ,1600,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,62,1,2,7,5,4,1,2024,5,1, ,2500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,46,1,2,5,9,98,1,2024,1,4,2,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,44,15,2,3,8,5,1,2023,8,5, , , , ,1200,100,0,200,0,400,0,0,100,0,300,0,0,100
98,1,41,5,1,1,3,3,1,2023,9,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,9,1,6,99,3,1,2023,11,1, ,1000, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,56,12,2,6,6,6,1,2024,4,1, ,1500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,4,2,4,6,6,1,2023,11,5, , , , ,400,0,0,0,0,200,0,0,0,0,0,0,0,200
98,1,52,1,2,5,6,3,1,2023,8,3, ,3500,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,10,2,5,6,3,1,2024,6,4,1,1600,1,6,400,0,200,100,0,0,100,0,0,0,0,0,0,0
98,1,61,4,2,6,5,3,1,2023,8,1, ,2000,1, ,100,0,0,0,0,0,0,100,0,0,0,0,0,0
98,1,54,3,2,6,10,5,1,2024,1,1, ,1000, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,69,3,2,7,5,5,1,2024,6,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,54,1,97,6,4,4,1,2024,1,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,54,1,2,6,6,6,1,2024,1,4,1,1600,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,53,8,2,5,4,4,1,2023,8,3, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,48,8,2,5,7,7,1,2024,4,4,1,1600,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,65,8,2,6,6,2,1,2024,2,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,68,8,2,7,6,4,1,2023,10,1, ,2000,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,50,6,2,5,7,4,1,2023,8,1, ,1000,1, ,200,100,0,0,0,0,0,0,0,0,100,0,0,0
98,1,52,1,2,6,10,10,1,2024,3,4,1,1600,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,44,1,1,1,6,6,1,2023,10,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,46,2,2,2,6,4,1,2024,2,1, ,1500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,55,7,2,6,11,1,1,2024,1,1, ,1600,1, ,100,0,0,0,0,100,0,0,0,0,0,0,0,0
2,1,55,9,2,6,9,5,1,2024,3,1, ,2000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,74,8,2,7,3,3,1,2024,2,1, ,1000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,49,8,2,5,9,9,1,2023,9,1, ,3800,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,55,1,2,6,7,7,1,2023,10,1, ,3500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,70,2,2,6,6,2,1,2024,5,4,1,1600,1, ,100,0,0,0,0,100,0,0,0,0,0,0,0,0
98,1,52,16,97,1,3,3,1,2023,12,1, ,1500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,41,13,1,1,2,2,1,2023,9,1, ,2500,3, ,200,0,0,0,0,100,0,100,0,0,0,0,0,0
98,1,33,12,1,6,9,3,1,2023,9,5, , , , ,500,200,0,0,200,0,0,0,0,0,100,0,0,0
2,2,35,1,2,4,3,1,1,2024,4,5, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,60,6,2,6,10,10,1,2024,3,5, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,41,16,2,3,7,4,1,2024,3,1, ,1500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,67,15,2,7,5,4,1,2023,7,1, ,2000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,35,9,1,6,4,2,1,2023,9,5, , , , ,100,0,0,0,0,0,0,0,100,0,0,0,0,0
98,2,26,13,1,1,3,3,1,2024,2,4,1,1600,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,45,1,2,5,13,11,1,2024,4,5, , , , ,100,0,0,0,0,0,0,100,0,0,0,0,0,0
98,2,62,8,2,6,11,1,1,2023,7,1, ,2500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,41,11,2,2,7,3,1,2024,5,4,1,1600,1, ,100,0,0,0,0,0,0,0,0,0,100,0,0,0
98,1,33,2,2,4,11,8,1,2023,12,1, ,5000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,61,15,2,6,9,4,1,2023,11,4,1,1600,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,53,16,2,5,5,3,1,2024,5,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,34,1,2,4,5,3,1,2024,2,4,1,1600,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,48,8,2,5,10,8,1,2024,3,1, ,2000,3, ,100,0,0,0,0,0,0,0,0,0,100,0,0,0
4,1,40,2,2,4,4,4,1,2023,8,4,1,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,41,2,1,7,7,7,1,2023,7,1, ,2500,3,7,100,0,0,0,0,0,0,0,0,0,0,100,0,0
98,2,44,1,2,5,5,2,1,2023,8,1, ,1000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,8,2,4,7,7,1,2024,2,1, ,3600,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,43,2,2,5,13,6,1,2023,12,1, ,3500,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,60,4,97,1,4,4,1,2024,2,1, ,2000,3, ,100,0,100,0,0,0,0,0,0,0,0,0,0,0
98,1,72,12,2,7,2,2,1,2023,10,1, ,1000, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,52,6,2,6,7,7,1,2024,6,4,1,1600,1,5,100,0,0,0,0,0,0,0,0,0,0,100,0,0
2,2,65,6,2,6,8,98,1,2023,7,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,46,3,2,5,6,6,1,2023,10,1, ,1000, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,67,11,2,6,11,4,1,2023,12,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,63,1,2,6,6,2,1,2023,11,2, ,2000,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,40,8,2,5,6,6,1,2023,7,4,2,4300,2, ,400,100,0,100,0,100,0,0,0,0,0,0,0,100
