SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q480101,Q480102,Q480103,Q480104,Q480105,Q480106,Q480107,Q480108,Q490101,Q490102,Q490103,Q490104,Q490105,Q490106,Q490107,Q490108
5,2,35,15,1,1,7,7,2,2022,1, ,2000,1, ,2,3, , , , , , ,1,1,1,2,2,2,2,1
98,1,53,8,2,6,7,4,1,2023,3, ,1600,1, ,7,5, , , , , , ,1,2,2,2,2,2,2,1
5,1,52,7,2,5,9,6,1,2021,1, ,2000,1, ,2, , , , , , , ,2,2,2,2,2,2,2,1
5,1,43,6,2,4,4,4,1,2019,3, ,2200,1,9,5,3,1,7, , , , ,2,2,1,1,2,1,2,1
1,1,52,14,2,6,8,5,2,2022,3, ,2300,2, ,2,5, , , , , , ,1,2,1,2,2,1,2,1
1,1,47,8,2,3,6,6,1,2017,3, ,2000,1,5,5,3,4,1,7,2, , ,1,2,1,1,1,2,2,1
3,2,54,14,2,6,5,1,2,2021,1, ,1600, , ,2,5,7, , , , , ,1,2,2,2,2,1,2,2
2,1,45,8,2,5,7,5,1,2023,4,1,2500,1, ,2,5,3, , , , , ,1,2,1,2,2,2,2,1
5,1,41,12,97,5,4,3,2,2020,2, ,2000, , ,3, , , , , , , ,1,2,1,2,1,2,2,1
5,1,70,8,2,7,10,6,1,2020,3, ,3000,1, ,3,2,5, , , , , ,1,1,2,2,2,1,2,1
4,1,37,1,2,2,7,3,2,2018,1, ,1600, , ,3, , , , , , , ,1,2,1,2,2,2,2,1
3,1,53,1,2,6,5,5,1,2018,1, ,3000,3, ,4,3,1,6,8,7, , ,2,2,1,1,1,1,2,2
2,1,46,8,2,5,7,7,1,2020,3, ,2200,1,7,3,8, , , , , , ,1,2,1,1,1,2,1,1
5,1,55,1,2,6,10,10,2,2019,3, ,1400,1, ,3,5,2, , , , , ,1,2,2,2,2,2,2,1
4,2,34,10,1,6,6,3,1,2023,1, ,1600,3, ,6,3,4,7, , , , ,1,2,1,1,1,2,2,1
2,2,57,8,97,6,11,4,1,2022,5, , , , ,3, , , , , , , ,1,2,1,2,2,2,2,1
2,1,72,1,2,7,4,4,1,2013,1, ,2400,1, ,5, , , , , , , ,1,1,2,1,1,2,2,1
98,1,62,1,2,7,5,4,1,2024,1, ,2500,3, ,5,2,3, , , , , ,1,2,1,2,2,2,2,1
2,1,52,17,97,5,7,7, , , , , , , ,4,2,5,3, , , , ,1,2,1,2,2,1,1,2
5,1,50,15,1,1,1,1,1,2015,3, ,2000,1, ,5,2,1,3, , , , ,2,2,1,1,2,2,2,1
98,1,44,14,1,1,3,3,1,2015,1, ,1600, , ,2, , , , , , , ,1,2,2,2,2,2,2,1
98,2,46,1,2,5,5,1,1,2013,1, ,2400,1, ,5,2,3, , , , , ,1,1,2,2,2,2,2,1
98,1,44,1,2,4,6,5,1,2023,3, ,2200,1,7,1,3,8,4, , , , ,1,2,1,1,2,2,1,2
4,1,57,8,1,1,2,2,1,2016,1, ,1000, ,2,2,5, , , , , , ,1,2,2,2,2,2,2,1
4,1,47,8,2,4,2,2,2,2022,2, ,1700, , ,7,2, , , , , , ,2,2,2,2,1,2,2,2
3,1,58,12, , , , ,1,2016,3, ,1600,1, ,3,2, , , , , , ,1,2,1,2,2,1,2,2
98,1,51,8,97,1,4,4,1,2021,4,1,2400,1, ,5,7,2, , , , , ,1,2,2,1,2,1,2,1
98,2,46,1,2,5,9,98,1,2024,4,2,2000,3, ,8,5,6,3,4, , , ,2,2,1,1,1,1,1,1
1,1,57,11,2,7,13,13,2,2013,3, ,2200,1,7,1,5,2, , , , , ,1,2,1,1,2,1,2,1
5,1,58,1,2,6,5,2,1,2020,1, ,1600,2, ,98, , , , , , , ,1,1,2,2,2,2,2,1
1,1,55,1,2,6,3,3,1,2013,2, ,2000, , ,2,5,3, , , , , ,2,2,2,2,2,2,2,1
3,1,45,8,2,5,8,6,1,2013,1, ,2400,1, ,3,5,7, , , , , ,1,2,1,2,2,1,2,2
1,1,54,2,2,5,8,8,1,2013,1, ,2000, , ,4,3,5, , , , , ,1,2,1,1,2,1,2,1
5,2,45,2,2,5,6,2,2,2023,1, ,2500,1, ,7,3,5,2, , , , ,1,2,1,2,2,1,2,1
2,2,64,14,97,7,6,3,1,2013,3, ,2000,1,7,8,2,5,7, , , , ,1,1,1,1,2,2,2,1
5,1,52,2,2,5,5,4,2,2020,2, ,2000, , ,5,2, , , , , , ,1,2,2,2,2,2,2,1
4,1,67,9,2,7,7,4,1,2016,3, ,2000,1,5,3,5,2, , , , , ,1,2,2,2,2,2,2,1
1,1,56,11,2,6,11,4,1,2014,3, ,2900,1,9,7,5,3,2, , , , ,1,2,2,2,2,2,2,1
5,2,30,4,1,6,99,5,1,2021,1, ,1600,1, ,6,2,5, , , , , ,2,2,2,2,1,2,2,2
