SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q0512,Q0406,Q0503,Q0504,Q0509,Q0511,Q051102,Q051901,Q051902,Q051903,Q051904,Q051905,Q051906,Q051907
98,1,53,8,2,6,7,4,1,2023,3, ,1600,1, ,6,8,2,3,9,9,9, , , , , , , 
2,1,45,8,2,5,7,5,1,2023,4,1,2500,1, ,10,10,2,98,10, ,10, , , , , , , 
4,2,34,10,1,6,6,3,1,2023,1, ,1600,3, ,6,6,4,6,7, ,7, , , , , , , 
98,1,62,1,2,7,5,4,1,2024,1, ,2500,3, ,5,8,4,6,8,8,6, , , , , , , 
98,2,46,1,2,5,9,98,1,2024,4,2,2000,3, ,8,8,11,6,8,8,7, , , , , , , 
4,1,44,15,2,3,8,5,1,2023,5, , , , ,8,7,3,98,9,8,6, , , , , , , 
98,1,41,5,1,1,3,3,1,2023,1, ,2500,1, ,6, ,1,6,10, ,6, , , , , , , 
98,1,44,9,1,6,99,3,1,2023,1, ,1000, ,5,6,6,1,1,8,7,6, , , , , , , 
5,2,56,12,2,6,6,6,1,2024,1, ,1500,1, ,5,5,8,98,6,7,4, , , , , , , 
98,1,44,4,2,4,6,6,1,2023,5, , , , ,7, ,11,98,10,10,7, , , , , , , 
98,1,52,1,2,5,6,3,1,2023,3, ,3500,1,9,8,8,4,6,9,9,8, , , , , , , 
98,1,44,10,2,5,6,3,1,2024,4,1,1600,1,6,7, , , , , ,7, , , , , , , 
98,1,61,4,2,6,5,3,1,2023,1, ,2000,1, ,8, ,8,4,8, ,7, , , , , , , 
98,1,54,3,2,6,10,5,1,2024,1, ,1000, ,5,10,8,2,98,10,10,9, , , , , , , 
98,1,69,3,2,7,5,5,1,2024,1, ,1600,1, ,9, , , , , ,8, , , , , , , 
98,1,54,1,97,6,4,4,1,2024,4,1,1600,1, ,10,10,4,7,10,10,10, , , , , , , 
98,1,54,1,2,6,6,6,1,2024,4,1,1600,1,5,9,9,4,6,9,9,8, , , , , , , 
3,1,53,8,2,5,4,4,1,2023,3, ,2000,3, ,8,8,11,98,8,8,8, , , , , , , 
98,1,48,8,2,5,7,7,1,2024,4,1,1600,1,6,7,8,4,1,7,6,4, , , , , , , 
98,1,65,8,2,6,6,2,1,2024,1, ,1600, , ,8,10,4,6,10,10,10, , , , , , , 
98,1,68,8,2,7,6,4,1,2023,1, ,2000,1,5,9,10,4,4,10,10,10, , , , , , , 
4,1,50,6,2,5,7,4,1,2023,1, ,1000,1, ,8,8,4,4,9,9,9,1,1,1,1,2,1,2
98,1,52,1,2,6,10,10,1,2024,4,1,1600,1,5,8,8,4,98,9,9,7, , , , , , , 
3,1,44,1,1,1,6,6,1,2023,4,1,1600,1, ,6,5,8,3,5,6,5,1,1,1,1,2,1,1
1,1,46,2,2,2,6,4,1,2024,1, ,1500,1, ,10,9, , , ,10,10, , , , , , , 
2,2,55,7,2,6,11,1,1,2024,1, ,1600,1, ,8,9,4,5,8, ,7, , , , , , , 
2,1,55,9,2,6,9,5,1,2024,1, ,2000,1, ,5,6,4,98,6,6,6, , , , , , , 
98,1,74,8,2,7,3,3,1,2024,1, ,1000,1, ,10,10,4,4,10,8,9,2,1,1,1,2,1,2
3,1,49,8,2,5,9,9,1,2023,1, ,3800,3, ,8,9,4,3,9,9,7, , , , , , , 
98,1,55,1,2,6,7,7,1,2023,1, ,3500,1, ,7,8,4,3,8,7,7, , , , , , , 
4,1,51,12,2,5,11,7,1,2023,5, , , , ,4,6,98,98,8,8,7,2,1,1,1,1,1,1
5,2,70,2,2,6,6,2,1,2024,4,1,1600,1, ,6, ,98,4,6,6,6, , , , , , , 
98,1,52,16,97,1,3,3,1,2023,1, ,1500,2, ,10, ,1,98,10, ,10, , , , , , , 
5,1,41,13,1,1,2,2,1,2023,1, ,2500,3, ,7,8, , , , ,8, , , , , , , 
98,1,33,12,1,6,9,3,1,2023,5, , , , ,10, ,11,98,10,8,10,1,1,2,1,1,2,1
4,1,37,4,2,3,11,9,1,2023,5, , , , ,10,10,12,98,9,10,10,1,1,1,1,2,1,1
2,2,35,1,2,4,3,1,1,2024,5, , , , ,7,7,12,7,7,7,7,1,1,1,1,1,1,1
98,1,60,6,2,6,10,10,1,2024,5, , , , ,8,8,3,2,9,9,9, , , , , , , 
2,1,41,16,2,3,7,4,1,2024,1, ,1500,1, ,7,8, , , ,8,8, , , , , , , 
5,1,35,9,1,6,4,2,1,2023,5, , , , ,8,7,2,98,8,8,8, , , , , , , 
98,2,26,13,1,1,3,3,1,2024,4,1,1600,3,6,10,10,4,3,10,10,9, , , , , , , 
98,1,45,1,2,5,13,11,1,2024,5, , , , ,6,9,9,1,8, ,4,1,2,2,1,2,1,1
98,2,62,8,2,6,11,1,1,2023,1, ,2500,3, ,9, ,3,7,10,10,10, , , , , , , 
