SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
98,1,53,8,2,6,7,4,1,2023,3, ,1600,1, ,12.9, ,10, ,11.8, ,5,4, ,1
5,1,52,7,2,5,9,6,1,2021,1, ,2000,1, ,11.8, ,10.7, ,14.3, ,7,3, ,1
5,1,43,6,2,4,4,4,1,2019,3, ,2200,1,9, , , , , , , , , , 
1,1,47,8,2,3,6,6,1,2017,3, ,2000,1,5, , , , , , , , , , 
2,1,45,8,2,5,7,5,1,2023,4,1,2500,1, ,18.5, ,17, ,25.2, ,10,1,3,1
5,1,70,8,2,7,10,6,1,2020,3, ,3000,1, , , , , , , , , , , 
3,1,53,1,2,6,5,5,1,2018,1, ,3000,3, , , , , , , , , , , 
2,1,46,8,2,5,7,7,1,2020,3, ,2200,1,7, , , , , , , , , , 
4,2,34,10,1,6,6,3,1,2023,1, ,1600,3, ,11, ,10.4, ,14, ,6,1,3,1
2,2,57,8,97,6,11,4,1,2022,5, , , , , , , , , , , ,1,3,1
2,1,72,1,2,7,4,4,1,2013,1, ,2400,1, , , , , , , , , , , 
98,1,62,1,2,7,5,4,1,2024,1, ,2500,3, , ,98,5, ,10.8, ,5,1, , 
5,1,50,15,1,1,1,1,1,2015,3, ,2000,1, , , , , , , , , , , 
98,1,44,14,1,1,3,3,1,2015,1, ,1600, , , , , , , , , , , , 
1,1,54,5, , , , ,1,2017,3, ,2200,1, , , , , , , , , , , 
98,2,46,1,2,5,5,1,1,2013,1, ,2400,1, , , , , , , , , , , 
98,1,44,1,2,4,6,5,1,2023,3, ,2200,1,7,8.5, ,7, ,12.3, ,6,1,3,1
4,1,57,8,1,1,2,2,1,2016,1, ,1000, ,2, , , , , , , , , , 
3,1,58,12, , , , ,1,2016,3, ,1600,1, , , , , , , , , , , 
98,1,51,8,97,1,4,4,1,2021,4,1,2400,1, ,16, ,14, ,18, ,7,1, , 
98,2,46,1,2,5,9,98,1,2024,4,2,2000,3, ,7.7, ,11.6, ,11.6, ,7,3,4,2
5,1,58,1,2,6,5,2,1,2020,1, ,1600,2, , , , , , , , , , , 
1,1,55,1,2,6,3,3,1,2013,2, ,2000, , , , , , , , , , , , 
3,1,45,8,2,5,8,6,1,2013,1, ,2400,1, , , , , , , , , , , 
1,1,54,2,2,5,8,8,1,2013,1, ,2000, , , , , , , , , , , , 
2,2,64,14,97,7,6,3,1,2013,3, ,2000,1,7, , , , , , , , , , 
4,1,67,9,2,7,7,4,1,2016,3, ,2000,1,5, , , , , , , , , , 
1,1,56,11,2,6,11,4,1,2014,3, ,2900,1,9, , , , , , , , , , 
5,2,30,4,1,6,99,5,1,2021,1, ,1600,1, , ,98,12.1, ,15, ,6,1, ,1
4,2,36,1,1,7,3,2,1,2022,1, ,1000,1, ,13.4, ,8.8, ,15.5, ,6,1, ,2
5,1,71,8,2,7,11,11,1,2022,3, ,2200,1,9,13, ,10.1, ,17, ,8,1,3,1
98,1,58,11,2,6,9,5,1,2019,3, ,2000,1,5, , , , , , , , , , 
1,1,56,11,1,1,4,4,1,2018,1, ,1600, , , , , , , , , , , , 
2,2,67,17,97,1,4,4,1,2013,1, ,3300,1, , , , , , , , , , , 
3,1,45,8,2,3,6,6,1,2021,4,1,1600,1, ,16.2, ,18.1, ,17.1, ,8,4, , 
