SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q03,Q0301,Q0302,Q030301,Q030302,Q0307,Q030801,MQ030902,Q030902
98,1,53,8,2,6,7,4,1,2023,3, ,1600,1, ,2,6,19,28,1,1,7,3980, 
5,1,52,7,2,5,9,6,1,2021,1, ,2000,1, ,3,8,4,2,1,1,6,7072, 
2,1,45,8,2,5,7,5,1,2023,4,1,2500,1, ,1,4,7,20,1,1,7,4500, 
4,2,34,10,1,6,6,3,1,2023,1, ,1600,3, ,1,4,21,16,1,8,99,3200, 
98,1,62,1,2,7,5,4,1,2024,1, ,2500,3, ,2,4,2,25,1,8,8,7070, 
98,2,46,1,2,5,9,98,1,2024,4,2,2000,3, ,3,7,7,29,1,1,14,12180, 
4,1,44,15,2,3,8,5,1,2023,5, , , , ,1,8,3,20,1,1,10,5260, 
2,2,47,2,2,5,6,3,1,2021,1, ,2000,1, ,2,3,27,26,2,5,6,8000, 
98,1,41,5,1,1,3,3,1,2023,1, ,2500,1, ,1,4,21,22,1,1,7,5300, 
3,1,56,8,2,6,7,7,1,2022,5, , , , ,2,11,1,28,1,8,9,6900, 
98,1,44,9,1,6,99,3,1,2023,1, ,1000, ,5,1,6,2,17,1,9,99,1550, 
5,1,49,8,2,5,10,10,1,2022,4,2,2000,3, ,1,6,8,1,1,1,9, , 
5,2,56,12,2,6,6,6,1,2024,1, ,1500,1, ,2,7,5,20,1,8,3,3600, 
98,1,44,4,2,4,6,6,1,2023,5, , , , ,1,7,3,17,1,1,14,8260, 
98,1,52,1,2,5,6,3,1,2023,3, ,3500,1,9,2,6,21,9,1,1,3,5000, 
98,1,44,10,2,5,6,3,1,2024,4,1,1600,1,6,2,7,3,14,1,8,6,4500, 
98,1,61,4,2,6,5,3,1,2023,1, ,2000,1, ,1,8,8,17,1,1,13,6300, 
98,1,49,8,1,1,2,2,1,2023,5, , , , ,1,99,8,8,2, , ,9000, 
98,1,54,3,2,6,10,5,1,2024,1, ,1000, ,5,1,99,97,17,1,8,7,1870, 
98,1,69,3,2,7,5,5,1,2024,1, ,1600,1, ,2,10,3,8,3,99,99,3890, 
98,1,54,1,97,6,4,4,1,2024,4,1,1600,1, ,1,13,21,7,1, , ,4910, 
98,1,54,1,2,6,6,6,1,2024,4,1,1600,1,5,2,7,9,20,1,8,5,4800, 
3,1,53,8,2,5,4,4,1,2023,3, ,2000,3, ,1,7,8,17,3,1,3,7000, 
98,1,48,8,2,5,7,7,1,2024,4,1,1600,1,6,2,9,5,30,1,99,9, ,99
98,1,65,8,2,6,6,2,1,2024,1, ,1600, , ,3,6,22,17,1,9,5,2140, 
98,1,68,8,2,7,6,4,1,2023,1, ,2000,1,5,2,6,9,17,1,1,5,3400, 
1,1,52,1,2,6,11,10,1,2022,1, ,2500,1, ,2,7,1,5,2,11,7,9000, 
4,1,50,6,2,5,7,4,1,2023,1, ,1000,1, ,3,12,4,18,1,9,5, ,99
98,2,56,5,2,6,11,5,1,2022,1, ,3200,3, ,3,4,22,2,1,1,13,8300, 
98,1,52,1,2,6,10,10,1,2024,4,1,1600,1,5,2,99,8,21,1,2,7,4800, 
3,1,44,1,1,1,6,6,1,2023,4,1,1600,1, ,1,7,28,14,2,9,5, ,99
1,1,46,2,2,2,6,4,1,2024,1, ,1500,1, ,1,11,8,2,1,8,7,3650, 
2,2,55,7,2,6,11,1,1,2024,1, ,1600,1, ,3,1,8,17,1,1,8,2644, 
5,1,48,15,2,4,11,7,1,2023,3, ,2000,3, ,2,8,22,25,1,6,7,4000, 
2,1,55,9,2,6,9,5,1,2024,1, ,2000,1, ,2,3,19,2,1,1,99,6630, 
98,1,74,8,2,7,3,3,1,2024,1, ,1000,1, ,2,99,1,25,1,99,7,1780, 
3,1,49,8,2,5,9,9,1,2023,1, ,3800,3, ,1,8,9,23,1,1,12,7500, 
98,1,55,1,2,6,7,7,1,2023,1, ,3500,1, ,1,12,1,6,1, , ,5200, 
98,1,43,4,2,3,10,5,1,2023,1, ,2000,1, ,2,3,3,2,3,1,13,7000, 
4,1,51,12,2,5,11,7,1,2023,5, , , , ,1,11,27,23,2, , ,5299, 
5,2,70,2,2,6,6,2,1,2024,4,1,1600,1, ,2,2,22,13,1,9,4,4700, 
2,1,37,2,1,7,12,11,1,2021,1, ,2000,1, ,1,13,8,1,3,4,8,7000, 
